timestamp,level,sector
1601178476.062805,1,0
1601178481.062805,2,0
1601178486.062805,3,0
1601178506.062805,5,1
1601178516.062805,3,1
1601178521.062805,2,1
1601178526.062805,1,1
1601178546.062805,1,2
1601178551.062805,2,2
1601178556.062805,3,2
1601178561.062805,4,2
1601178566.062805,5,2
1601178576.062805,5,3
1601178586.062805,3,3
1601178591.062805,2,3
1601178596.062805,1,3
1601178616.062805,1,4
1601178621.062805,2,4
1601178626.062805,3,4
1601178631.062805,4,4
1601178636.062805,5,4
1601178646.062805,5,5
1601178656.062805,3,5
1601178661.062805,2,5
1601178666.062805,1,5
1601178686.062805,1,6
1601178691.062805,2,6
1601178701.062805,4,6
1601178706.062805,5,6
1601178716.062805,5,7
1601178731.062805,2,7
1601178736.062805,1,7
1601178756.062805,1,8
1601178761.062805,2,8
1601178766.062805,3,8
1601178771.062805,4,8
1601178776.062805,5,8
1601178786.062805,5,9
1601178801.062805,2,9
1601178806.062805,1,9
1601178826.062805,1,10
1601178836.062805,3,10
1601178846.062805,5,10
1601178861.062805,4,11
1601178866.062805,3,11
1601178871.062805,2,11
1601178876.062805,1,11
1601178896.062805,1,12
1601178906.062805,3,12
1601178916.062805,5,12
1601178926.062805,5,13
1601178931.062805,4,13
1601178936.062805,3,13
1601178941.062805,2,13
1601178946.062805,1,13
1601178966.062805,1,14
1601178971.062805,2,14
1601178976.062805,3,14
1601178981.062805,4,14
1601178986.062805,5,14
1601178996.062805,5,15
1601179001.062805,4,15
1601179006.062805,3,15
1601179011.062805,2,15
1601179016.062805,1,15
